step,reward,done
1436,100.84875,False
1437,100.80741,False
1438,100.866066,False
1439,95.903854,False
1440,100.8625,False
1441,100.921135,False
1442,95.85895,False
1443,95.896774,False
1444,95.88463,False
1445,100.843254,False
1446,100.90187,False
1447,95.88974,False
1448,100.84834,False
1449,100.90694,False
1450,100.91552,False
1451,100.92409,False
1452,100.93265,False
1453,100.99119,False
1454,95.979095,False
1455,96.01701,False
1456,101.07555,False
1457,100.98408,False
1458,96.02202,False
1459,96.00997,False
1460,101.01849,False
1461,96.00647,False
1462,96.04446,False
1463,96.082466,False
1464,101.09098,False
1465,96.07901,False
1466,101.08752,False
1467,101.14601,False
1468,101.2045,False
1469,101.21297,False
1470,96.25102,False
1471,101.25948,False
1472,101.31793,False
1473,101.32638,False
1474,96.21445,False
1475,101.27288,False
1476,96.210976,False
1477,96.19909,False
1478,96.23721,False
1479,101.19564,False
1480,96.183784,False
1481,96.22195,False
1482,101.280365,False
1483,96.26855,False
1484,101.276955,False
1485,96.315155,False
1486,96.253365,False
1487,96.24159,False
1488,96.229836,False
1489,96.1681,False
1490,96.15637,False
1491,101.21479,False
1492,101.27319,False
1493,101.23158,False
1494,101.18996,False
1495,101.24833,False
1496,96.28663,False
1497,101.29499,False
1498,101.30334,False
1499,96.34166,False
1500,96.33,False
1501,96.26836,False
1502,101.3267,False
1503,101.28503,False
